Reference, Date, Time, Wind Pulses, Direction, Temperature, Humidity, Thermistor, Battery Voltage
AA,11-02-2014,01:25:21,0,D,10.41,0.65535,12.09,4.45
AA,11-02-2014,01:26:21,0,D,10.39,0.65578,12.09,4.45
AA,11-02-2014,01:27:21,0,D,10.41,0.65511,12.09,4.44
AA,11-02-2014,01:28:21,0,D,10.39,0.65468,12.09,4.44
AA,11-02-2014,01:29:21,0,D,10.38,0.65444,12.09,4.45
AA,11-02-2014,01:30:21,0,D,10.38,0.65444,12.09,4.44
AA,11-02-2014,01:31:21,0,D,10.38,0.65468,12.01,4.44
AA,11-02-2014,01:32:21,0,D,10.37,0.65554,12.09,4.44
AA,11-02-2014,01:33:21,0,D,10.37,0.65578,12.09,4.44
AA,11-02-2014,01:34:21,0,D,10.35,0.65511,12.01,4.44
AA,11-02-2014,01:35:21,0,D,10.37,0.65578,12.09,4.44
AA,11-02-2014,01:36:21,0,D,10.37,0.65487,12.01,4.44
AA,11-02-2014,01:37:21,0,D,10.37,0.65535,12.01,4.45
AA,11-02-2014,01:38:21,0,D,10.35,0.65602,12.01,4.44
AA,11-02-2014,01:39:21,0,D,10.35,0.65670,12.01,4.44
AA,11-02-2014,01:40:21,0,D,10.35,0.65645,12.01,4.44
AA,11-02-2014,01:41:21,0,D,10.34,0.65535,12.01,4.44
AA,11-02-2014,01:42:21,0,D,10.34,0.65511,12.01,4.45
AA,11-02-2014,01:43:21,0,D,10.34,0.65511,12.01,4.44
AA,11-02-2014,01:44:21,0,D,10.32,0.65511,12.01,4.44
AA,11-02-2014,01:45:21,0,D,10.32,0.65670,12.01,4.44
AA,11-02-2014,01:46:21,0,D,10.32,0.65602,12.01,4.44
AA,11-02-2014,01:47:21,0,D,10.31,0.65578,12.01,4.44
AA,11-02-2014,01:48:21,0,D,10.32,0.65602,12.01,4.44
AA,11-02-2014,01:49:21,0,D,10.31,0.65737,12.01,4.44
AA,11-02-2014,01:50:21,0,D,10.32,0.65578,12.01,4.44
AA,11-02-2014,01:51:21,0,D,10.31,0.65554,12.01,4.44
AA,11-02-2014,01:52:21,0,D,10.31,0.65645,12.01,4.44
AA,11-02-2014,01:53:21,0,D,10.30,0.65688,12.01,4.44
AA,11-02-2014,01:54:21,0,D,10.30,0.65688,12.01,4.44
AA,11-02-2014,01:55:21,0,D,10.30,0.65602,11.92,4.44
AA,11-02-2014,01:56:21,0,D,10.28,0.65554,12.01,4.44
AA,11-02-2014,01:57:21,0,D,10.30,0.65554,12.01,4.44
AA,11-02-2014,01:58:21,0,D,10.28,0.65554,12.01,4.44
AA,11-02-2014,01:59:21,0,D,10.28,0.65578,11.92,4.44
AA,11-02-2014,02:00:21,0,D,10.27,0.65602,11.92,4.44
AA,11-02-2014,02:01:21,0,D,10.27,0.65645,11.92,4.44
AA,11-02-2014,02:02:21,0,D,10.28,0.65578,11.92,4.44
AA,11-02-2014,02:03:21,0,D,10.27,0.65670,11.92,4.44
AA,11-02-2014,02:04:21,0,D,10.26,0.65670,11.92,4.44
AA,11-02-2014,02:05:21,0,D,10.26,0.65737,11.92,4.44
AA,11-02-2014,02:06:21,0,D,10.26,0.65670,11.92,4.44
AA,11-02-2014,02:07:21,0,D,10.24,0.65645,11.92,4.44
AA,11-02-2014,02:08:21,0,D,10.24,0.65645,11.92,4.44
AA,11-02-2014,02:09:21,0,D,10.23,0.65670,11.92,4.44
AA,11-02-2014,02:10:21,0,D,10.23,0.65712,11.92,4.44
AA,11-02-2014,02:11:21,0,D,10.23,0.65780,11.92,4.44
AA,11-02-2014,02:12:21,0,D,10.24,0.65712,11.92,4.44
AA,11-02-2014,02:13:21,0,D,10.23,0.65822,11.92,4.44
AA,11-02-2014,02:14:21,0,D,10.23,0.65871,11.92,4.44
AA,11-02-2014,02:15:21,0,D,10.21,0.65737,11.92,4.44
AA,11-02-2014,02:16:21,0,D,10.21,0.65804,11.92,4.44
AA,11-02-2014,02:17:21,0,D,10.21,0.65755,11.92,4.44
AA,11-02-2014,02:18:21,0,D,10.23,0.65712,11.92,4.44
AA,11-02-2014,02:19:21,0,D,10.21,0.65737,11.92,4.44
AA,11-02-2014,02:20:21,0,D,10.21,0.65822,11.92,4.44
AA,11-02-2014,02:21:21,0,D,10.21,0.65780,11.92,4.44
AA,11-02-2014,02:22:21,0,D,10.20,0.65737,11.92,4.44
AA,11-02-2014,02:23:21,0,D,10.20,0.65847,11.92,4.44
AA,11-02-2014,02:24:21,0,D,10.20,0.65712,11.84,4.44
AA,11-02-2014,02:25:21,0,D,10.19,0.65804,11.92,4.44
AA,11-02-2014,02:26:21,0,D,10.20,0.65847,11.92,4.44
AA,11-02-2014,02:27:21,0,D,10.20,0.65780,11.84,4.44
AA,11-02-2014,02:28:21,0,D,10.19,0.65755,11.84,4.44
AA,11-02-2014,02:29:21,0,D,10.19,0.65755,11.84,4.44
AA,11-02-2014,02:30:21,0,D,10.17,0.65755,11.84,4.44
AA,11-02-2014,02:31:21,0,D,10.17,0.65755,11.84,4.44
AA,11-02-2014,02:32:21,0,D,10.17,0.65871,11.84,4.44
AA,11-02-2014,02:33:21,0,D,10.17,0.65780,11.84,4.44
AA,11-02-2014,02:34:21,0,D,10.16,0.65804,11.84,4.44
AA,11-02-2014,02:35:21,0,D,10.16,0.65780,11.84,4.44
AA,11-02-2014,02:36:21,0,D,10.16,0.65780,11.84,4.44
AA,11-02-2014,02:37:21,0,D,10.16,0.65804,11.84,4.44
AA,11-02-2014,02:38:21,0,D,10.15,0.65871,11.84,4.44
AA,11-02-2014,02:39:21,0,D,10.15,0.65914,11.84,4.44
AA,11-02-2014,02:40:21,0,D,10.16,0.65932,11.84,4.44
AA,11-02-2014,02:41:21,0,D,10.15,0.65871,11.84,4.44
AA,11-02-2014,02:42:21,0,D,10.13,0.65847,11.84,4.44
AA,11-02-2014,02:43:21,0,D,10.13,0.65804,11.84,4.44
AA,11-02-2014,02:44:21,0,D,10.15,0.65847,11.84,4.44
AA,11-02-2014,02:45:21,0,D,10.15,0.65932,11.84,4.44
AA,11-02-2014,02:46:21,0,D,10.13,0.65957,11.84,4.44
AA,11-02-2014,02:47:21,0,D,10.12,0.65822,11.84,4.44
AA,11-02-2014,02:48:21,0,D,10.13,0.65822,11.84,4.44
AA,11-02-2014,02:49:21,0,D,10.12,0.65847,11.84,4.44
AA,11-02-2014,02:50:21,0,D,10.12,0.65822,11.84,4.44
AA,11-02-2014,02:51:21,0,D,10.12,0.65871,11.84,4.44
AA,11-02-2014,02:52:21,0,D,10.11,0.65847,11.84,4.44
AA,11-02-2014,02:53:21,0,D,10.11,0.65847,11.75,4.44
AA,11-02-2014,02:54:21,0,D,10.11,0.65847,11.75,4.44
AA,11-02-2014,02:55:21,0,D,10.11,0.65914,11.75,4.44
AA,11-02-2014,02:56:21,0,D,10.09,0.65822,11.75,4.44
AA,11-02-2014,02:57:21,0,D,10.11,0.65822,11.75,4.44
AA,11-02-2014,02:58:21,0,D,10.08,0.65914,11.75,4.44
AA,11-02-2014,02:59:21,0,D,10.08,0.65871,11.75,4.44
AA,11-02-2014,03:00:21,0,D,10.08,0.65871,11.75,4.44
AA,11-02-2014,03:01:21,0,D,10.06,0.65932,11.75,4.44
AA,11-02-2014,03:02:21,0,D,10.08,0.65999,11.75,4.44
AA,11-02-2014,03:03:21,0,D,10.08,0.65932,11.75,4.44
AA,11-02-2014,03:04:21,0,D,10.08,0.65871,11.75,4.44
AA,11-02-2014,03:05:21,0,D,10.08,0.65871,11.75,4.44
AA,11-02-2014,03:06:21,0,D,10.06,0.65932,11.75,4.44
AA,11-02-2014,03:07:21,0,D,10.06,0.66024,11.75,4.44
AA,11-02-2014,03:08:21,0,D,10.06,0.65957,11.75,4.44
AA,11-02-2014,03:09:21,0,D,10.05,0.65932,11.75,4.44
AA,11-02-2014,03:10:21,0,D,10.05,0.65932,11.75,4.44
AA,11-02-2014,03:11:21,0,D,10.04,0.65981,11.75,4.44
AA,11-02-2014,03:12:21,0,D,10.05,0.65981,11.75,4.44
AA,11-02-2014,03:13:21,0,D,10.05,0.65914,11.75,4.44
AA,11-02-2014,03:14:21,0,D,10.05,0.65914,11.75,4.44
AA,11-02-2014,03:15:21,0,D,10.04,0.65914,11.75,4.44
AA,11-02-2014,03:16:21,0,D,10.02,0.65981,11.75,4.44
AA,11-02-2014,03:17:21,0,D,10.02,0.65957,11.75,4.44
AA,11-02-2014,03:18:21,0,D,10.02,0.65932,11.75,4.44
AA,11-02-2014,03:19:21,0,D,10.02,0.65999,11.75,4.43
AA,11-02-2014,03:20:21,0,D,10.02,0.65981,11.75,4.43
AA,11-02-2014,03:21:21,0,D,10.02,0.66048,11.75,4.43
AA,11-02-2014,03:22:21,0,D,10.02,0.65981,11.66,4.43
AA,11-02-2014,03:23:21,0,D,10.01,0.65981,11.66,4.43
AA,11-02-2014,03:24:21,0,D,10.01,0.65981,11.75,4.43
AA,11-02-2014,03:25:21,0,D,10.01,0.65957,11.66,4.44
AA,11-02-2014,03:26:21,0,D,10.01,0.65981,11.66,4.43
AA,11-02-2014,03:27:21,0,D,10.00,0.65981,11.66,4.43
AA,11-02-2014,03:28:21,0,D,10.00,0.65957,11.66,4.43
AA,11-02-2014,03:29:21,0,D,9.98,0.65981,11.66,4.43
AA,11-02-2014,03:30:21,0,D,10.00,0.66066,11.66,4.43
AA,11-02-2014,03:31:21,0,D,10.00,0.66024,11.66,4.43
AA,11-02-2014,03:32:21,0,D,10.00,0.66048,11.66,4.43
AA,11-02-2014,03:33:21,0,D,9.97,0.66024,11.66,4.43
AA,11-02-2014,03:34:21,0,D,9.98,0.65999,11.66,4.43
AA,11-02-2014,03:35:21,0,D,9.98,0.65999,11.66,4.43
AA,11-02-2014,03:36:21,0,D,9.98,0.65999,11.66,4.43
AA,11-02-2014,03:37:21,0,D,9.98,0.66024,11.66,4.43
AA,11-02-2014,03:38:21,0,D,9.97,0.65999,11.66,4.43
AA,11-02-2014,03:39:21,0,D,9.97,0.66024,11.66,4.43
AA,11-02-2014,03:40:21,0,D,9.97,0.66048,11.66,4.43
AA,11-02-2014,03:41:21,0,D,9.97,0.66048,11.66,4.43
AA,11-02-2014,03:42:21,0,D,9.97,0.66024,11.66,4.43
AA,11-02-2014,03:43:21,0,D,9.96,0.66024,11.66,4.43
AA,11-02-2014,03:44:21,0,D,9.96,0.66024,11.66,4.43
AA,11-02-2014,03:45:21,0,D,9.97,0.66048,11.66,4.43
AA,11-02-2014,03:46:21,0,D,9.96,0.66066,11.66,4.43
AA,11-02-2014,03:47:21,0,D,9.96,0.66091,11.66,4.43
AA,11-02-2014,03:48:21,0,D,9.96,0.66066,11.66,4.43
AA,11-02-2014,03:49:21,0,D,9.94,0.66048,11.66,4.43
AA,11-02-2014,03:50:21,0,D,9.94,0.66048,11.66,4.43
AA,11-02-2014,03:51:21,0,D,9.94,0.66066,11.66,4.43
AA,11-02-2014,03:52:21,0,D,9.94,0.66048,11.66,4.43
AA,11-02-2014,03:53:21,0,D,9.94,0.66091,11.66,4.43
AA,11-02-2014,03:54:21,0,D,9.94,0.66115,11.66,4.43
AA,11-02-2014,03:55:21,0,D,9.94,0.66115,11.66,4.43
AA,11-02-2014,03:56:21,0,D,9.94,0.66048,11.66,4.43
AA,11-02-2014,03:57:21,0,D,9.94,0.66066,11.66,4.43
AA,11-02-2014,03:58:21,0,D,9.94,0.66134,11.66,4.43
AA,11-02-2014,03:59:21,0,D,9.93,0.66091,11.58,4.43
AA,11-02-2014,04:00:21,0,D,9.93,0.66066,11.58,4.43
AA,11-02-2014,04:01:21,0,D,9.91,0.66066,11.66,4.43
AA,11-02-2014,04:02:21,0,D,9.91,0.66091,11.58,4.43
AA,11-02-2014,04:03:21,0,D,9.93,0.66115,11.58,4.43
AA,11-02-2014,04:04:21,0,D,9.91,0.66091,11.58,4.43
AA,11-02-2014,04:05:21,0,D,9.91,0.66091,11.58,4.43
AA,11-02-2014,04:06:21,0,D,9.90,0.66182,11.58,4.43
AA,11-02-2014,04:07:21,0,D,9.91,0.66115,11.58,4.43
AA,11-02-2014,04:08:21,0,D,9.90,0.66134,11.58,4.43
AA,11-02-2014,04:09:21,0,D,9.89,0.66115,11.58,4.43
AA,11-02-2014,04:10:21,0,D,9.90,0.66115,11.58,4.43
AA,11-02-2014,04:11:21,0,D,9.90,0.66115,11.58,4.43
AA,11-02-2014,04:12:21,0,D,9.89,0.66115,11.58,4.43
AA,11-02-2014,04:13:21,0,D,9.90,0.66134,11.58,4.43
AA,11-02-2014,04:14:21,0,D,9.89,0.66158,11.58,4.43
AA,11-02-2014,04:15:21,0,D,9.87,0.66182,11.58,4.43
AA,11-02-2014,04:16:21,0,D,9.89,0.66182,11.58,4.43
